376|"Ocimum tenuiflorum L."
377|"Hygrophila erecta (Burm.f.) Hochr."
378|"Lindernia antipoda (L.) Alston"
380|"Sida ovata Forsskal"
382|"Sacciolepis indica (L.) Chase"
383|"Ageratum conyzoides L."
385|"Hyptis capitata Jacq."
387|"Derris andamanica Prain"
388|"Parameria laevigata (Juss.) Moldenke"
389|"Euphorbia hirta L."
391|"Plecospermum andamanicum King"
392|"Daedelacanthus suffruticosus T.Anderson"
393|"Cyperus brevifolius (Rottb.) Hassk."
394|"Fimbristylis dichotoma (L.) Vahl"
396|"Ficus caulocarpa Miq."
397|"Discospermum abnorme (Korth.) S.J. Ali et Robbr."
398|"Trema tomentosa (Roxb.) Hara"
399|"Pseuderanthemum album (Nees) Merr."
400|"Bridelia ovata Decne"
401|"Dysoxylum arborescens (Blume) Miq."
402|"Capparis cantoniensis Lour."
404|"Capparis micracantha DC."
405|"Alocasia decipiens Schott"
406|"Mitrephora sp."
407|"Syzygium claviflorum (Roxb.) Wallich ex Cowan et Cowan"
409|"Cissus repens Lam."
411|"Argyreia mollis (Burm.f.) Choisy"
414|"Canavalia cathartica Thouars"
415|"Grewia serrulata DC."
416|"Sarcostigma kleinii Wight et Arn."
417|"Scindapsus officinalis (Roxb.) Schott"
418|"Ficus virens Aiton"
419|"Derris scandens (Roxb.) Benth. var. scandens"
421|"Secamone sp."
422|"Walsura robusta Roxb."
423|"Tadehagi triquetrum (L.) Ohashi ssp. auriculatum (DC.) Ohashi"
425|"Mitrephora heyneana (Hook.f. et Thomson) Thwaites"
427|"Ancistrocladus tectorius (Lour.) Merr."
430|"Anaxagorea luzoniensis A.Gray"
431|"Trichosanthes tricuspidata Lour."
433|"Scleria levis Retz."
434|"Freycinetia insignis Blume"
435|"Cyperus sp."
436|"Dalbergia confertifolia Benth."
437|"Erythrina variegata L."
439|"Ficus virens Aiton var. virens"
440|"Cnestis palala (Lour.) Merr. ssp. palala"
441|"Carissa spinarum L."
442|"Aphania montana Blume"
443|"Derris sp."
444|"Combretum squamosum Roxb."
447|"Asparagus racemosus Willd."
448|"Peltophorum pterocarpum (DC.) Backer ex K.Heyne"
450|"Cissus repanda Vahl"
451|"Amaranthus viridis L."
452|"Epaltes divaricata (L.) Cass."
453|"Hippocratea andamanica King"
454|"Spatholobus acuminatus Benth."
455|"Aglaia argentea Blume"
456|"Melastoma malabathricum L."
457|"Piper betle L."
458|"Illigera appendiculata Blume"
459|"Sphenodesme involucrata (Presl) H.L.Rob."
460|"Camonea Umbellata (L.) A.R. Simoes et Staples"
461|"Phrynium pubinerve Blume"
462|"Anoectochilus nicobaricus Balakr. et Chakrab."
463|"Hyptis brevipes Poit."
466|"Cardiospermum halicacabum L. var. luridum (Blume) Adelb."
468|"Pyrrosia adnascens (Sw.) Ching"
469|"Huperzia phlegmaria (L.) Rothm."
470|"Amphineurion marginatum (Roxb.) D.J. Middleton"
472|"Syzygium jambos (L.) Alston"
473|"Cleome viscosa L."
474|"Crotalaria retusa L."
476|"Marsilea crenata Presl."
477|"Enydra fluctuans Lour."
478|"Physalis angulata L."
479|"Canarium manii King"
481|"Memecylon coeruleum Jack."
482|"Drypetes sp."
484|"Erycibe paniculata Roxb."
485|"Syzygium cumini (L.) Skeels"
486|"Pisonia aculeata L."
488|"Randia shoemannii (T. et B.) Bakh.f."
489|"Phoenix rupicola T.Anderson"
490|"Senna tora (L.) Roxb."
493|"Champereia manillana (Blume) Merr."
494|"Mezoneuron enneaphyllum (Roxb.) Wight et Arn. ex Voigt"
495|"Capparis zeylanica L."
496|"Amyema fasciculata (Blume) Danser"
497|"Pterospermum acerifolium Willd."
498|"Drypetes macrophylla (Blume) Pax et Hoffm."
499|"Euphorbia prostrata Aiton"
500|"Syzygium antisepticum (Blume) Merr. et L.M. Perry"
503|"Scleria lithosperma (L.) Sw."
504|"Glochidion sp."
505|"Drypetes porterii ?"
506|"Carallia brachiata (Lour.) Merr."
507|"Calophyllum calaba L. var. bracteatum (Wight) P. Stevens"
508|"Syzygium manii ( King) Balakr."
509|"Calophyllum tetrapterum Miq."
510|"Casearia grewiaefolia Vent. var. gelonoides (Bl.) Sleumer"
511|"Euphorbia epiphylloides Kurz"
512|"Cryptolepis sp."
513|"Scleria sumatrensis Retz."
514|"Cyperus iria L."
515|"Dactyloctenium aegyptium (L.) P.Beauv."
516|"Eclipta prostrata (L.) L."
520|"Merremia hederacea (Burm.f.) Hallier f."
521|"Cleome rutidosperma DC."
523|"Barleria cuspidata B.Heyne ex Nees"
524|"Pogostemon auricularius (L.) Hassk."
525|"Ludwigia octovalvis (Jacq.) Raven"
526|"Dillenia indica L."
527|"Alternanthera paronychioides St. Hil."
528|"Decalobanthus peltatus (L.) A.R. Sim?es et Staples"
529|"Ailanthus kurzii Prain"
530|"Mesosphaerum suaveolens (L.) Kuntze"
531|"Eria polystachya A. Rich."
532|"Aporusa roxburghii Baill."
534|"Gossypium barbadense L."
537|"Pithecellobium angulatum Benth."
540|"Goniothalamus macranthus (Kurz) Boerl."
542|"Randia sp."
543|"Dioscorea sp."
545|"Mucuna imbricata DC."
547|"Dioscorea pentaphylla L."
548|"Hedyotis sp."
549|"Smithia sensitiva W.Aiton"
551|"Jasminum subglandulosum Kurz"
552|"Abrus fruticulosus Wall. et Walker"
553|"Clerodendrum sp."
554|"Celtis philippensis Blanco var. wightii (Planchon) Soep."
556|"Chionanthus ramiflorus Roxb."
558|"Gynochthodes macrophylla Kurz"
559|"Desmodium sp."
